Station Count
1 7967
1 24065
1 3023
1 3101
1 8605
1 3023
1 930
1 1395
1 1008
2 2276
2 13415
2 465
2 1550
2 2171
2 2636
2 698
2 1008
2 1628
3 2358
3 3577
3 698
3 1240
3 930
3 349
3 3256
3 4186
3 3798
4 2602
4 10244
4 3023
4 5581
4 4574
4 1240
4 3953
5 8780
5 1220
5 620
5 853
5 1628
5 1163
5 310
5 1240
5 1473
6 3659
6 3415
6 7597
6 2326
6 5736
6 1938
6 3876
6 698
6 2636
7 2195
7 2276
7 3256
7 1008
7 698
7 698
7 1163
7 5271
7 8682
8 16748
8 2946
8 620
8 8450
8 310
8 13798
8 4574
9 7561
9 11301
9 1550
9 4264
9 2868
9 1550
9 1085
9 1240
10 4797
10 16260
10 2636
10 6124
10 19922
10 2248
10 2016
10 853
10 13178
11 10813
11 4797
11 21783
11 6512
11 8450
11 5891
11 2946
11 24264
11 1473
12 3496
12 4878
12 698
12 388
12 6279
12 78
12 1008
12 2248
12 4031
13 17967
13 8211
13 62248
13 11860
13 9302
13 13256
13 698
13 29845
14 213
14 813
14 24
14 374
14 465
14 1938
14 3333
14 233
14 155
14 3721
15 388
15 233
15 465
15 853
15 155
15 233
15 78
15 388
16 40
16 1220
16 447
16 1016
16 659
16 276
16 2593
16 1220
16 610
16 1073
16 623
16 3244
16 228
16 1341
16 715
16 1057
16 683
16 236
16 667
16 78
16 1163
16 233
16 78
16 155
16 4109
17 310
17 78
17 543
17 310
17 388
17 155
17 698
18 853
18 155
18 543
18 233
18 620
18 388
18 543
18 1395
19 180
19 158
19 366
19 154
19 187
19 228
19 407
19 398
19 870
19 504
19 439
19 341
19 398
19 423
19 333
19 472
19 1089
19 208
19 130
19 252
19 415
19 935
19 561
19 602
19 610
19 884
19 357
19 403
19 465
19 287
19 264
19 388
19 217
19 450
19 341
19 519
19 186
19 326
19 349
19 1992
19 194
19 140
19 3209
19 1558
19 1132
19 643
19 6039
19 372
20 233
20 233
20 388
20 543
20 543
20 2713
21 233
21 1240
21 78
21 78
21 388
21 78
21 3721
22 1085
22 1163
22 620
22 1550
22 155
22 233
23 1870
23 1301
23 78
23 853
23 3566
23 1473
23 209
23 1318
23 3178
24 35581
24 4729
24 12558
24 1860
24 3411
24 1783
24 4729
24 698
24 4729
25 9837
25 21870
25 3256
25 3566
25 15581
25 2713
25 2093
25 2791
25 1628
26 3798
26 2602
26 8140
26 3953
26 388
26 2248
26 4031
26 2481
26 12248
27 1980
27 3307
27 14336
27 3171
27 7480
27 2398
27 6415
27 8537
27 13008
27 6899
27 8217
27 1318
27 5736
27 4264
27 4496
27 7287
28 1313
28 10745
28 3065
28 1398
28 3789
28 1894
28 2000
28 2358
28 1301
28 2326
28 18295
28 3643
28 4341
28 18915
28 3178
28 22171
29 17073
29 24472
29 64186
29 31318
29 25581
29 5504
29 20388
29 8915
29 11705
30 1007
30 827
30 176
30 4797
30 3577
30 1938
30 3643
30 3256
30 930
30 3256
30 1938
30 3798
31 3008
31 2276
31 32791
31 11938
31 1442
31 4341
31 10388
31 1318
31 4574
32 9837
32 21220
32 6512
32 11163
32 211
32 3178
32 4109
32 9302
33 17398
33 40894
33 28450
33 15349
33 5426
33 7442
33 6512
33 7442
33 2481
34 6585
34 4959
34 7597
34 5969
34 4419
34 1705
34 5969
34 1318
34 2558
35 3008
35 1382
35 2248
35 2713
35 2481
35 2636
35 3256
35 930
35 3798
36 6301
36 1528
36 11008
36 9228
36 12715
36 9350
36 25285
36 72868
36 6512
36 2558
36 1163
36 21085
36 6667
36 4496
37 4309
37 17724
37 5581
37 11318
37 19845
37 7829
37 9922
37 1938
37 7984
38 4146
38 5122
38 930
38 2016
38 2016
38 2093
38 1163
38 155
38 6202
39 2114
39 13333
39 4884
39 8450
39 9922
39 7054
39 11318
39 11705
40 17561
40 57398
40 35504
40 30388
40 23488
40 5194
40 14264
40 15891
40 15659
41 2642
41 772
41 3463
41 1423
41 2382
41 1602
41 2154
41 1415
41 1691
41 1797
41 2699
41 3049
41 1211
41 1626
41 1764
41 2366
41 2984
41 4341
41 3894
41 2797
41 1403
41 3333
41 953
41 519
41 1124
41 868
41 333
41 535
41 1295
41 605
42 3916
42 2691
42 3634
42 3496
42 3024
42 2837
42 4756
42 3821
42 6829
42 3488
42 16434
42 3256
42 6744
42 13178
42 4109
42 15736
43 6911
43 9106
43 9457
43 6667
43 7597
43 4031
43 9845
43 2713
43 2713
44 6179
44 25285
44 7054
44 5736
44 4496
44 4729
44 7287
44 1085
44 5659
45 9593
45 7805
45 13333
45 19922
45 12713
45 5891
45 4496
45 4109
45 5504
46 8455
46 4065
46 8372
46 2248
46 3101
46 3333
46 2558
46 2326
46 6589
47 388
47 124
47 78
47 101
47 1380
47 132
47 202
47 78
47 47
