hours wage educ age children
0 0 1 18 3
1195 83307 1 50 0
0 0 2 56 4
221 3466 1 30 2
931 47980 2 21 3
400 31435 2 33 3
647 57297 2 35 2
1317 15471 2 18 0
0 0 3 22 4
0 0 2 37 5
949 20766 2 21 0
375 10647 2 24 0
763 51233 1 57 1
1329 19252 2 30 0
634 71242 2 48 2
832 14856 2 30 0
814 34347 3 34 0
1398 81194 2 48 0
0 0 2 41 5
760 34829 2 31 1
592 4343 2 18 1
433 77298 3 50 4
1713 95225 3 53 0
2943 108849 3 27 0
1138 37305 2 29 1
570 16305 1 36 1
819 3589 1 19 0
961 54166 2 55 1
846 67199 2 53 1
923 14366 3 27 0
617 9204 2 22 1
0 0 3 36 4
414 55910 2 53 1
0 0 2 31 4
114 42032 2 34 4
0 0 2 25 0
100 65843 3 39 5
785 2763 3 31 1
799 87920 2 50 2
0 0 1 19 2
1496 37844 3 20 0
0 0 2 40 3
1336 32836 2 20 1
0 0 3 49 5
1605 77374 3 40 1
0 0 2 55 3
0 0 2 34 4
1775 80805 3 30 1
58 29315 2 27 3
575 41400 2 49 1
0 0 2 18 2
962 42753 3 34 2
947 85511 3 50 1
0 0 3 48 5
722 16401 1 35 0
638 36943 2 37 1
748 26594 2 30 2
239 7450 2 30 2
0 0 1 57 2
368 43413 2 57 2
0 0 2 33 1
1242 41313 3 24 1
2283 126184 3 55 0
1555 92781 2 50 1
570 7630 2 27 0
1633 95111 3 51 1
577 34534 2 49 0
1089 62667 2 57 0
0 0 3 48 2
1713 57210 3 32 0
728 49162 3 33 3
248 62338 3 39 4
0 0 2 32 3
1242 29494 2 23 0
0 0 2 51 2
739 64688 1 50 1
675 34155 2 57 0
400 65259 3 34 4
119 20066 3 18 3
0 0 1 55 1
1538 90708 3 46 0
724 71285 2 55 2
422 7748 2 55 0
699 37350 1 21 2
174 71760 2 50 4
0 0 1 36 3
0 0 2 35 7
0 0 2 49 9
0 0 1 34 2
0 0 2 34 2
1546 85681 1 49 0
1370 42517 2 23 0
733 50710 2 47 1
48 39788 2 56 2
1155 42942 2 47 0
0 0 1 26 3
0 0 1 26 3
0 0 2 39 7
319 30637 2 55 1
1624 60561 3 30 1
0 0 2 54 0
1189 66104 2 48 0
1623 59391 3 20 0
810 89881 3 51 3
545 404 2 23 1
1795 55305 3 28 1
1602 79895 3 24 2
1517 83108 2 36 2
1447 92636 3 32 2
1805 72220 3 55 0
0 0 1 30 2
401 65622 3 49 2
1716 48078 3 22 0
570 60395 2 51 2
0 0 2 56 0
1517 40668 2 26 1
0 0 2 36 6
1204 24340 3 18 0
2222 96286 3 57 0
184 15211 2 30 2
1058 31389 3 28 1
1273 17079 2 26 0
0 0 2 30 1
0 0 2 25 4
31 10013 1 48 0
1942 84033 3 53 0
1290 41267 2 21 0
178 26458 2 49 1
590 39881 2 48 0
0 0 1 47 3
609 57994 2 51 0
1055 54120 3 47 1
1864 57043 3 32 0
590 7342 2 23 1
1983 48708 3 26 0
1419 54830 3 33 1
1340 92225 2 54 1
1734 70489 3 24 2
0 0 2 33 5
831 11654 2 26 2
1595 80089 3 50 0
1359 34289 2 36 0
0 0 1 21 2
529 72437 2 49 2
1750 101650 2 57 1
370 17889 1 23 1
1860 100439 3 57 0
809 5902 2 27 0
526 57017 3 38 2
536 46902 1 34 1
648 50105 2 51 1
1660 78506 2 39 1
178 8956 2 57 0
132 38673 3 38 2
1356 57425 3 18 1
340 47709 1 53 1
335 63393 2 57 3
305 13509 2 57 0
1735 51331 1 23 0
1151 35946 2 21 1
0 0 2 38 4
0 0 2 50 5
1330 80993 3 31 3
1511 25268 3 25 0
1326 61526 3 58 0
1303 85036 2 53 0
2003 55637 2 26 0
1834 71467 2 21 1
0 0 1 23 2
1437 69811 2 55 0
479 85526 2 38 5
1579 99344 3 53 2
792 31048 2 25 1
0 0 1 40 6
1638 33705 3 27 0
723 32090 2 59 0
0 0 2 27 2
1063 19145 2 23 0
1263 63096 2 53 0
1536 76875 2 53 0
1546 110703 3 48 1
0 0 2 35 3
0 0 2 53 6
753 28828 1 48 0
882 14454 2 30 0
